Title,Clusters
National Franchise Recruiter,['Human Resources Specialists']
Speech Language Pathology Clinical Fellow,"['Healthcare Diagnosing or Treating Practitioners, All Other', 'Therapists, All Other', 'Physicians, All Other', 'Speech-Language Pathologists']"
Optometry Resident,"['Psychiatric Aides', 'Healthcare Diagnosing or Treating Practitioners, All Other', 'Physicians, All Other']"
Speech Language Pathologist Clinical Fellow,['Speech-Language Pathologists']
Speech-Language Pathology Clinical Fellow,"['Healthcare Diagnosing or Treating Practitioners, All Other', 'Therapists, All Other', 'Physicians, All Other', 'Speech-Language Pathologists']"
Doctoral Capstone Student,"['General Internal Medicine Physicians', 'Pediatricians, General', 'Family Medicine Physicians', 'Therapists, All Other', 'Physicians, All Other', 'Pediatric Surgeons', 'Obstetricians and Gynecologists', 'Allergists and Immunologists', 'Dermatologists', 'Healthcare Diagnosing or Treating Practitioners, All Other', 'Psychiatrists', 'Social Workers, All Other', 'Orthopedic Surgeons, Except Pediatric']"
Student Physical Therapist Assistant,"['Art Therapists', 'Physical Therapists', 'Mental Health and Substance Abuse Social Workers', 'Music Therapists', 'Recreational Therapists', 'Clinical and Counseling Psychologists', 'Physical Therapist Assistants']"
Managing Optometrist,"['Optometrists', 'Industrial Production Managers']"
Travel Physical Therapist,"['Art Therapists', 'Physical Therapists', 'Mental Health and Substance Abuse Social Workers', 'Music Therapists', 'Recreational Therapists', 'Clinical and Counseling Psychologists']"
Radiation Therapy Student,"['Occupational Therapy Assistants', 'Social Workers, All Other']"
Adult Reconstruction Fellow,"['Advanced Practice Psychiatric Nurses', 'Teaching Assistants, All Other']"
Per Diem Occupational Therapist,"['Art Therapists', 'Physical Therapists', 'Occupational Therapists', 'Mental Health and Substance Abuse Social Workers', 'Music Therapists', 'Recreational Therapists', 'Clinical and Counseling Psychologists']"
Speech Language Pathologist Extern,['Speech-Language Pathologists']
Storyboard Revisionist,"['Textile, Apparel, and Furnishings Workers, All Other', 'Special Effects Artists and Animators', 'Pressers, Textile, Garment, and Related Materials']"
Spine Surgery Fellow,"['Surgical Technologists', 'Medical Equipment Preparers', 'Registered Nurses']"
Neonatology Fellow,"['Clinical Research Coordinators', 'Urologists']"
Early Intervention Speech Language Pathologist,['Speech-Language Pathologists']
Pediatric Speech Language Pathologist,['Speech-Language Pathologists']
Travel Occupational Therapist,"['Art Therapists', 'Occupational Therapists', 'Physical Therapists', 'Mental Health and Substance Abuse Social Workers', 'Music Therapists', 'Recreational Therapists', 'Clinical and Counseling Psychologists']"
Student Physical Therapist,"['Art Therapists', 'Physical Therapists', 'Occupational Therapists', 'Mental Health and Substance Abuse Social Workers', 'Music Therapists', 'Recreational Therapists', 'Clinical and Counseling Psychologists']"
Client Management Representative,"['Information and Record Clerks, All Other', 'Government Property Inspectors and Investigators', 'Legislators', 'Social Workers, All Other']"
Contract Occupational Therapist,"['Art Therapists', 'Physical Therapists', 'Occupational Therapists', 'Mental Health and Substance Abuse Social Workers', 'Music Therapists', 'Recreational Therapists', 'Clinical and Counseling Psychologists']"
Interventional Cardiology Fellow,"['Radiologic Technologists and Technicians', 'Teaching Assistants, Postsecondary']"
Assistant Roadmaster,"['Legal Secretaries and Administrative Assistants', 'Railroad Conductors and Yardmasters', 'First-Line Supervisors of Material-Moving Machine and Vehicle Operators']"
Medical Physics Resident,"['Orderlies', 'Healthcare Diagnosing or Treating Practitioners, All Other', 'Physicians, All Other']"
Technology Delivery Lead Manager,"['Financial Managers', 'Property, Real Estate, and Community Association Managers']"
